Removed Pin From Net: NetName=IN0 Pin=C15-2
Added Component: Designator=C29(0805_HV)
Added Pin To Net: NetName=12V Pin=C15-2
Added Pin To Net: NetName=GND Pin=C15-1
Added Pin To Net: NetName=IN0 Pin=C15-2
Added Pin To Net: NetName=CS Pin=CON1-1
Added Pin To Net: NetName=LED_STR2 Pin=CON1-2
Added Pin To Net: NetName=LED_STR2 Pin=CON1-3
Added Pin To Net: NetName=LED_STR3 Pin=CON1-4
Added Pin To Net: NetName=LED_STR3 Pin=CON1-5
Added Pin To Net: NetName=LED_STR4 Pin=CON1-6
Added Pin To Net: NetName=LED_STR4 Pin=CON1-7
Added Pin To Net: NetName=LED_STR5 Pin=CON1-8
